count,threshold,runtime,attack,reboot;signatures,aborts;reboots
8,1,120,60,30;78311,0;yes
8,2,120,60,30;54088,0;yes
8,3,120,60,30;44260,0;yes
8,4,120,60,30;37193,0;yes
8,5,120,60,30;36971,0;yes
8,6,120,60,30;8896,1498;yes
8,7,120,60,30;2655,2083;yes
8,8,120,60,30;2181,2105;yes
12,1,120,60,30;51601,0;yes
12,2,120,60,30;37465,0;yes
12,4,120,60,30;31984,0;yes
12,6,120,60,30;26356,0;yes
12,8,120,60,30;19715,0;yes
12,10,120,60,30;1543,2057;yes
12,11,120,60,30;1596,1934;yes
12,12,120,60,30;1415,1950;yes
18,1,120,60,30;28583,0;yes
18,2,120,60,30;24481,0;yes
18,3,120,60,30;24105,0;yes
18,6,120,60,30;19350,0;yes
18,9,120,60,30;15629,0;yes
18,12,120,60,30;12504,14;yes
18,16,120,60,30;672,1873;yes
18,17,120,60,30;787,1869;yes
18,18,120,60,30;812,1876;yes
